tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,sentiment,weighted_score,features
tt0043745,short,Lion Down,Lion Down,0,1951.0,7.0,"Animation,Comedy,Family",7.1,459,-0.15555555555555559,6.990300078226512,Animation Comedy Family 1951.0
tt0167491,video,Wicked Covergirls,Wicked Covergirls,1,1998.0,85.0,Adult,5.7,7,0.0,6.8505721614227095,Adult 1998.0
tt6574096,tvEpisode,Shadow Play - Part 2,Shadow Play - Part 2,0,2017.0,22.0,"Adventure,Animation,Comedy",8.5,240,0.0,7.464427307909805,Adventure Animation Comedy 2017.0
tt6941700,tvEpisode,RuPaul Roast,RuPaul Roast,0,2017.0,30.0,Reality-TV,8.0,11,0.0,6.898818574836017,Reality-TV 2017.0
tt7305674,video,UCLA Track & Field Promo,UCLA Track & Field Promo,0,2017.0,30.0,"Short,Sport",9.7,7,0.0,6.916454514363886,Short Sport 2017.0
tt2262289,movie,The Pin,The Pin,0,2013.0,85.0,Drama,7.7,27,0.0,6.920209367650902,Drama 2013.0
tt0874027,tvEpisode,Episode #32.9,Episode #32.9,0,2006.0,29.0,"Comedy,Game-Show,News",8.0,8,0.0,6.8910637760672575,Comedy Game-Show News 2006.0
tt2811098,tvEpisode,Coldest Road,Coldest Road,0,2013.0,30.0,Adventure,8.2,13,0.0,6.909960948038634,Adventure 2013.0
tt0522155,tvEpisode,The New Marshal,The New Marshal,0,1981.0,30.0,"Comedy,Western",6.4,5,0.13636363636363635,6.864286450602013,Comedy Western 1981.0
tt0981201,tvSeries,Favouritism,Favouritism,0,2005.0,48.0,\N,6.9,7,0.0,6.870336867305062,\N 2005.0
tt0313258,tvMovie,Barefoot in the Park,Barefoot in the Park,0,1982.0,128.0,Comedy,7.6,180,0.0,7.0896206832853705,Comedy 1982.0
tt0642245,tvEpisode,"Cheese, Cues, and Blood","Cheese, Cues, and Blood",0,1991.0,23.0,Comedy,8.1,339,0.0,7.420730737918959,Comedy 1991.0
tt2353837,video,Belladonna's How to... Fuck,Belladonna's How to... Fuck,1,2012.0,225.0,Adult,7.5,11,-0.4,6.885998062015505,Adult 2012.0
tt2447920,movie,Point B,Point B,0,2013.0,94.0,"Comedy,Sci-Fi",5.9,48,0.0,6.769942421898394,Comedy Sci-Fi 2013.0
tt0231511,movie,"Two Loves, Two Worlds","Dyo agapes, dyo kosmoi",0,1958.0,88.0,Drama,4.8,11,0.0,6.816767292784735,Drama 1958.0
tt3101632,movie,Lascados,Lascados,0,2014.0,89.0,Comedy,4.3,91,0.0,6.410399152464935,Comedy 2014.0
tt0491331,video,El Cable,El Cable,0,2004.0,30.0,Short,5.0,13,0.0,6.813441226460908,Short 2004.0
tt3454828,movie,The Gospel of John,The Gospel of John,0,2014.0,160.0,Drama,7.6,606,0.0,7.3019464537154795,Drama 2014.0
tt2871960,videoGame,Your Shape: Fitness Evolved 2012,Your Shape: Fitness Evolved 2012,0,2011.0,30.0,\N,5.1,8,0.0,6.836603682170543,\N 2011.0
tt7538380,tvEpisode,Megyn Kelly/Nathan Fielder/Colton Dunn/Sonny Emory,Megyn Kelly/Nathan Fielder/Colton Dunn/Sonny Emory,0,2017.0,30.0,"Comedy,Talk-Show",5.4,14,0.0,6.822206408807063,Comedy Talk-Show 2017.0
tt5068150,tvEpisode,Flight 462: Part 10,Flight 462: Part 10,0,2016.0,30.0,"Drama,Horror,Sci-Fi",7.1,153,0.0,6.931511678817253,Drama Horror Sci-Fi 2016.0
tt0579866,tvEpisode,Real Cowboys Play Fair,Real Cowboys Play Fair,0,1985.0,30.0,"Drama,Family",8.9,18,0.44999999999999996,6.953654056432687,Drama Family 1985.0
tt0280661,movie,Far from China,Far from China,0,2001.0,89.0,Drama,6.8,24,0.1,6.866047892770705,Drama 2001.0
tt0346317,tvSeries,Korkeajännitystä - eli sähköä kotiinkuljetettuna,Korkeajännitystä - eli sähköä kotiinkuljetettuna,0,2001.0,22.0,Comedy,6.5,19,0.0,6.853760111223459,Comedy 2001.0
tt0119553,movie,Little Shots of Happiness,Little Shots of Happiness,0,1997.0,83.0,Comedy,6.1,96,0.25625,6.7260567482580775,Comedy 1997.0
tt6391206,tvEpisode,Episode #1.1,Episode #1.1,0,2017.0,47.0,Documentary,7.8,12,0.0,6.895798066522445,Documentary 2017.0
tt6996794,tvEpisode,The Play: Part 1,The Play: Part 1,0,2018.0,25.0,"Comedy,Drama",8.4,68,0.0,7.083936560914921,Comedy Drama 2018.0
